V49  56446.348  11.534   0.035  56446.344  11.479   0.028
V49  56446.406  11.519   0.024  56446.398  11.444   0.028
V49  56446.449  11.533   0.016  56446.445  11.483   0.013
V49  56446.504  11.551   0.015  56446.500  11.497   0.016
V49  56446.555  11.551   0.047  56446.551  11.486   0.025
V49  56446.609  11.505   0.032  56446.605  11.448   0.030
V49  56446.664  11.522   0.016  56446.660  11.465   0.029
V49  56446.711  11.554   0.039  56446.707  11.492   0.027
V49  56446.758  11.581   0.058  56446.754  11.502   0.048
V49  56446.812  11.532   0.050  56446.805  11.470   0.042
V52  56446.223  10.563   0.040  56446.227  10.460   0.032
V52  56446.289  10.556   0.045  56446.293  10.485   0.037
V52  56446.336  10.592   0.047  56446.340  10.513   0.039
V52  56446.395  10.628   0.045  56446.398  10.529   0.024
V52  56446.438  10.639   0.033  56446.441  10.535   0.025
V52  56446.492  10.625   0.039  56446.496  10.518   0.028
V52  56446.543  10.591   0.039  56446.547  10.510   0.039
V52  56446.598  10.564   0.032  56446.602  10.460   0.027
V52  56446.652  10.536   0.032  56446.656  10.434   0.026
V52  56446.699  10.495   0.035  56446.707  10.424   0.038
V52  56446.746  10.510   0.019  56446.750  10.409   0.026
V52  56446.801  10.500   0.031  56446.805  10.394   0.026
V61  56446.227  11.506   0.048  56446.227  11.411   0.017
V61  56446.289  11.485   0.058  56446.293  11.373   0.007
V61  56446.336  11.480   0.056  56446.340  11.372   0.003
V61  56446.395  11.498   0.053  56446.398  11.389   0.011
V61  56446.438  11.519   0.053  56446.441  11.403   0.013
V61  56446.492  11.523   0.044  56446.496  11.406   0.020
V61  56446.547  11.484   0.057  56446.547  11.382   0.012
V61  56446.602  11.480   0.050  56446.602  11.370   0.021
V61  56446.652  11.500   0.051  56446.656  11.398   0.023
V61  56446.703  11.524   0.049  56446.707  11.404   0.009
V61  56446.746  11.515   0.055  56446.750  11.424   0.029
V61  56446.801  11.496   0.058  56446.805  11.414   0.020
C1   56446.230  11.308   0.107  56446.230  11.207   0.091
C1   56446.293  11.272   0.085  56446.293  11.130   0.121
C1   56446.344  11.266   0.114  56446.344  11.164   0.144
C1   56446.398  11.332   0.088  56446.398  11.230   0.088
C1   56446.441  11.334   0.095  56446.441  11.232   0.131
C1   56446.496  11.343   0.092  56446.496  11.204   0.065
C1   56446.551  11.299   0.090  56446.551  11.141   0.148
C1   56446.605  11.292   0.094  56446.605  11.170   0.088
C1   56446.660  11.315   0.114  56446.656  11.205   0.085
C1   56446.707  11.355   0.099  56446.707  11.205   0.137
C1   56446.754  11.349   0.113  56446.754  11.272   0.095
C1   56446.805  11.276   0.104  56446.805  11.197   0.112
